1,1,0,43.2214737,-0.0520377,532.39,96.69,5.3,2.3,95972.9,70,-1916,594,24.52,19,34.20,8.25,5218
1,1,0,43.2214699,-0.0520246,531.88,96.69,5.5,2.4,95982.1,77,-2053,635,25.15,18,34.20,8.25,5219
1,1,0,43.2214699,-0.0520121,531.34,95.89,5.4,2.5,95982.1,54,-1960,596,24.12,18,34.20,8.25,5220
1,1,0,43.2214622,-0.0519998,530.79,95.06,5.4,2.6,95991.7,54,-1938,620,24.09,18,33.85,8.24,5221
1,1,0,43.2214584,-0.0519888,530.22,95.06,5.2,2.7,95991.7,77,-2122,674,23.09,18,34.20,8.25,5222
1,1,0,43.2214546,-0.0519790,529.65,94.15,4.9,2.7,96002.1,115,-2245,711,23.34,17,33.50,8.25,5223
1,1,0,43.2214317,-0.0519569,526.64,94.15,0.6,2.6,96031.7,59,-2111,663,22.62,17,33.85,8.25,5228
1,1,0,43.2214317,-0.0519561,526.42,91.58,0.6,2.5,96041.3,59,-2111,663,22.62,18,33.85,8.24,5228
1,1,0,43.2214317,-0.0519550,526.22,90.74,1.0,2.4,96041.3,59,-2111,663,22.62,18,33.72,8.25,5229
1,1,0,43.2214317,-0.0519537,525.98,90.74,1.3,2.4,96041.3,61,-2061,666,22.62,18,33.63,8.23,5229
1,1,0,43.2214317,-0.0519537,525.98,90.74,1.3,2.4,96041.3,65,-2109,682,22.62,18,33.63,8.24,5230
1,1,0,43.2214317,-0.0519537,525.98,90.74,1.3,2.4,96041.3,65,-2109,682,22.62,18,34.07,8.25,5230
1,1,0,43.2214317,-0.0519521,525.78,90.09,1.6,2.3,96048.8,99,-1919,593,22.62,18,33.85,8.25,5230
1,1,0,43.2214355,-0.0519500,525.58,90.09,2.0,2.2,96048.8,99,-1919,593,22.84,18,34.20,8.25,5231
1,1,0,43.2214394,-0.0519448,525.13,90.09,2.7,2.2,96048.8,64,-2028,642,22.73,18,34.20,8.25,5232
1,1,0,43.2214394,-0.0519374,524.64,89.45,3.5,2.3,96056.2,88,-2415,749,22.14,19,34.20,8.25,5233
1,1,0,43.2214432,-0.0519276,524.22,89.45,4.4,2.2,96065.0,47,-1960,631,21.60,19,34.20,8.25,5234
