27.4,6.2,-97,89.13,4304
27.4,6.2,-97,112.20,4305
27.6,6.2,-97,112.20,4306
27.6,6.2,-97,112.20,4307
27.6,6.2,-97,112.20,4308
27.8,6.2,-97,112.20,4309
27.6,6.2,-97,112.20,4310
27.6,6.2,-102,199.53,4311
27.6,6.2,-102,199.53,4312
27.2,6.2,-95,199.53,4313
27.6,6.2,-95,89.13,4314
27.4,6.2,-98,125.89,4315
27.4,6.2,-98,125.89,4316
27.4,6.2,-97,112.20,4317
27.6,6.2,-97,112.20,4318
27.8,6.2,-96,112.20,4319
27.4,6.2,-96,100.00,4320
27.4,6.2,-93,70.79,4321
27.4,6.2,-93,70.79,4322
27.6,6.2,-93,70.79,4323
27.4,6.2,-93,70.79,4324
27.6,6.2,-93,70.79,4325
28.3,6.2,-94,79.43,4326
27.8,6.2,-94,79.43,4327
27.0,6.2,-93,79.43,4328
27.6,6.2,-93,70.79,4329
27.4,6.2,-94,79.43,4330
27.6,6.2,-94,79.43,4331
28.0,6.2,-94,79.43,4332
28.0,6.2,-95,89.13,4333
27.6,6.2,-95,89.13,4334
27.2,6.2,-95,89.13,4335
27.0,6.2,-95,89.13,4336
27.4,6.2,-95,89.13,4337
27.4,6.2,-94,79.43,4338
27.8,6.2,-94,79.43,4339
27.4,6.2,-94,79.43,4340
28.0,6.2,-94,79.43,4341
27.6,6.2,-92,63.10,4342
27.6,6.2,-92,63.10,4343
27.6,6.2,-90,50.12,4344
28.0,6.2,-90,50.12,4345
27.6,6.2,-92,50.12,4346
27.6,6.2,-92,63.10,4347
27.7,6.2,-98,125.89,4348
27.6,6.2,-98,125.89,4349
27.4,6.2,-98,125.89,4350
28.0,6.2,-98,125.89,4351
27.6,6.2,-98,125.89,4352
27.4,6.2,-98,125.89,4353
28.0,6.2,-98,125.89,4354
28.0,6.2,-94,251.19,4355
27.6,6.2,-96,100.00,4356
27.4,6.2,-94,79.43,4357
27.7,6.2,-94,79.43,4358
27.6,6.2,-102,199.53,4359
27.7,6.2,-102,199.53,4360
27.4,6.2,-94,79.43,4361
27.4,6.2,-94,79.43,4362
27.6,6.2,-92,63.10,4363
28.0,6.2,-92,63.10,4364
27.5,6.2,-92,63.10,4365
27.4,6.2,-92,63.10,4366
27.6,6.2,-98,141.25,4367
27.7,6.2,-98,125.89,4368
27.4,6.2,-99,141.25,4369
28.0,6.2,-99,141.25,4370
27.7,6.2,-98,125.89,4371
