flag_calib,flag_drop,flag_separation,flag_fin,top_lat,bottom_lat,top_lon,bottom_lon,top_hMSL,bottom_hMSL,top_altbaro,bottom_altbaro,top_gyrx,bottom_gyrx,top_gyry,bottom_gyry,top_gyrz,bottom_gyrz,sat_hRSSI,top_pression,top_temperature,distance_modules,bottom_pression,top_vspeed,bottom_vspeed,timeindex
1,0,0,0,43.2424774,43.2423973,-0.039343,-0.0393123,468.9,405.9,0.82,0.58,-5.0,21.0,-39.0,-32.0,8.0,6.0,0.3,97243.5,37.3,10.0,97217.9,0.1,-0.0,1608
1,0,0,0,43.2424774,43.2423973,-0.0393423,-0.039312,468.0,406.1,0.82,0.59,-7.0,21.0,-39.0,-33.0,8.0,6.0,0.3,97243.5,37.5,9.5,97217.8,0.1,0.0,1609
1,0,0,0,43.2424736,43.2423973,-0.0393427,-0.039312,467.4,406.5,0.83,0.6,-6.0,20.0,-39.0,-33.0,8.0,6.0,0.3,97243.4,37.7,9.5,97217.7,0.0,-0.0,1610
1,0,0,0,43.2424736,43.2423973,-0.0393419,-0.0393122,466.6,406.6,0.83,0.6,-7.0,20.0,-39.0,-32.0,8.0,6.0,0.3,97243.4,37.5,9.1,97217.7,0.0,-0.0,1611
1,0,0,0,43.2424698,43.2423973,-0.0393422,-0.0393122,465.9,406.6,0.83,0.6,-6.0,20.0,-40.0,-32.0,8.0,6.0,0.3,97243.4,37.5,9.1,97217.7,0.0,-0.0,1612
1,0,0,0,43.2424698,43.2424011,-0.0393409,-0.0393122,465.1,406.9,0.83,0.58,-6.0,21.0,-39.0,-33.0,8.0,6.0,0.3,97243.4,37.9,8.7,97217.9,0.1,-0.0,1613
1,0,0,0,43.242466,43.2424011,-0.0393389,-0.0393122,463.6,407.1,0.83,0.58,-6.0,20.0,-40.0,-32.0,8.0,6.0,0.3,97243.4,37.5,8.3,97217.9,0.0,-0.0,1614
1,0,0,0,43.2424698,43.2424011,-0.0393409,-0.0393122,465.1,407.1,0.83,0.58,-6.0,20.0,-39.0,-32.0,8.0,6.0,0.3,97243.4,37.9,8.3,97217.9,0.1,-0.0,1615
1,0,0,0,43.242466,43.2424011,-0.0393379,-0.0393124,463.0,407.4,0.83,0.6,-5.0,20.0,-40.0,-32.0,8.0,7.0,0.3,97243.4,37.5,7.5,97217.7,0.1,-0.0,1616
1,0,0,0,43.242466,43.2424011,-0.0393368,-0.0393124,462.3,407.4,0.84,0.6,-6.0,20.0,-39.0,-32.0,8.0,7.0,0.3,97243.3,37.3,7.5,97217.7,0.1,-0.0,1617
1,0,0,0,43.242466,43.2424011,-0.0393359,-0.0393124,461.7,407.5,0.84,0.59,-6.0,20.0,-39.0,-32.0,8.0,6.0,0.3,97243.3,37.5,7.5,97217.9,0.0,-0.0,1618
1,0,0,0,43.2424622,43.2424011,-0.0393357,-0.0393126,461.1,407.9,0.83,0.59,-6.0,20.0,-40.0,-33.0,8.0,6.0,0.3,97243.4,37.3,7.5,97217.8,0.0,-0.1,1619
1,0,0,0,43.2424622,43.2424011,-0.0393357,-0.0393129,461.1,408.0,0.83,0.58,-6.0,20.0,-40.0,-33.0,8.0,6.0,0.3,97243.4,37.3,7.5,97218.0,0.0,-0.1,1620
1,0,0,0,43.2424622,43.2424011,-0.0393346,-0.0393129,459.6,408.0,0.82,0.58,-6.0,20.0,-39.0,-33.0,8.0,6.0,0.3,97243.5,37.2,7.5,97218.0,0.0,-0.1,1621
1,0,0,0,43.2424622,43.2424011,-0.0393342,-0.0393135,458.9,408.4,0.81,0.59,-6.0,20.0,-39.0,-32.0,8.0,6.0,0.3,97243.6,38.1,7.1,97217.8,0.0,-0.1,1622
1,0,0,0,43.2424622,43.2424011,-0.0393338,-0.0393135,458.3,408.4,0.81,0.59,-6.0,20.0,-40.0,-32.0,8.0,6.0,0.3,97243.6,37.0,7.1,97217.8,0.0,-0.1,1623
1,0,0,0,43.2424583,43.2424049,-0.0393337,-0.0393135,457.7,408.5,0.83,0.58,-6.0,21.0,-40.0,-32.0,8.0,6.0,0.3,97243.4,37.5,7.0,97217.9,0.0,-0.1,1624
1,0,0,0,43.2424583,43.2424049,-0.0393336,-0.039314,457.1,408.8,0.83,0.59,-6.0,21.0,-40.0,-32.0,9.0,6.0,0.3,97243.4,37.5,6.7,97217.8,0.0,-0.1,1625
1,0,0,0,43.2424583,43.2424049,-0.039333,-0.039314,456.5,408.8,0.83,0.59,-6.0,21.0,-40.0,-32.0,8.0,6.0,0.3,97243.4,37.5,6.7,97217.8,0.0,-0.1,1626
1,0,0,0,43.2424545,43.2424049,-0.039334,-0.0393143,455.9,409.0,0.83,0.59,-6.0,21.0,-39.0,-32.0,8.0,6.0,0.3,97243.4,37.6,5.9,97217.8,0.0,-0.1,1627
1,0,0,0,43.2424545,43.2424049,-0.0393341,-0.0393145,455.3,409.2,0.83,0.6,-6.0,21.0,-40.0,-33.0,8.0,6.0,0.3,97243.4,38.0,5.9,97217.7,0.0,-0.0,1628
1,0,0,0,43.2424545,43.2424049,-0.0393341,-0.0393147,455.3,409.3,0.83,0.6,-6.0,21.0,-40.0,-32.0,8.0,6.0,0.3,97243.4,38.0,5.5,97217.7,0.0,-0.1,1629
1,0,0,0,43.2424507,43.2424049,-0.0393358,-0.0393149,454.2,409.4,0.82,0.59,-6.0,20.0,-39.0,-32.0,8.0,7.0,0.3,97243.5,37.2,5.5,97217.8,-0.0,-0.1,1630
1,0,0,0,43.2424507,43.2424049,-0.0393362,-0.0393149,453.6,409.4,0.82,0.59,-6.0,20.0,-39.0,-32.0,8.0,7.0,0.3,97243.5,37.3,5.5,97217.8,-0.0,-0.1,1631
1,0,0,0,43.2424469,43.2424049,-0.0393371,-0.0393154,453.1,409.7,0.82,0.59,-6.0,20.0,-39.0,-32.0,8.0,6.0,0.3,97243.5,37.7,5.6,97217.9,-0.0,-0.1,1632
1,0,0,0,43.2424469,43.2424049,-0.0393373,-0.0393154,452.5,409.7,0.82,0.59,-6.0,20.0,-39.0,-32.0,8.0,6.0,0.3,97243.5,37.5,5.6,97217.9,-0.0,-0.1,1633
1,0,0,0,43.2424469,43.2424049,-0.0393376,-0.0393155,451.9,409.8,0.82,0.59,-6.0,20.0,-39.0,-33.0,8.0,6.0,0.3,97243.5,37.5,5.2,97217.9,0.0,-0.0,1634
1,0,0,0,43.2424431,43.2424049,-0.0393379,-0.0393162,451.4,410.2,0.82,0.6,-6.0,21.0,-40.0,-33.0,8.0,6.0,0.3,97243.5,37.5,4.9,97217.7,0.0,-0.1,1635
1,0,0,0,43.2424431,43.2424049,-0.0393386,-0.0393162,451.0,410.3,0.82,0.6,-6.0,20.0,-39.0,-32.0,8.0,6.0,0.3,97243.5,37.5,4.9,97217.7,0.0,-0.0,1636
1,0,0,0,43.2424431,43.2424049,-0.0393383,-0.0393166,450.0,410.4,0.82,0.58,-6.0,20.0,-39.0,-32.0,8.0,6.0,0.3,97243.5,37.7,4.5,97217.9,0.1,-0.0,1637
1,0,0,0,43.2424431,43.2424049,-0.0393383,-0.0393167,450.0,410.5,0.82,0.61,-6.0,20.0,-39.0,-32.0,8.0,6.0,0.3,97243.5,37.7,4.5,97217.6,0.1,-0.0,1638
1,0,0,0,43.2424431,43.2424049,-0.0393392,-0.0393167,449.5,410.5,0.82,0.61,-5.0,20.0,-39.0,-32.0,8.0,6.0,0.3,97243.5,37.3,4.5,97217.6,0.1,-0.0,1639
1,0,0,0,43.2424431,43.2424049,-0.0393401,-0.0393172,449.2,410.8,0.84,0.59,-6.0,20.0,-39.0,-33.0,8.0,7.0,0.3,97243.3,37.5,4.5,97217.8,0.1,-0.0,1640
1,0,0,0,43.2424431,43.2424049,-0.0393401,-0.0393172,449.2,410.8,0.84,0.59,-6.0,20.0,-39.0,-33.0,8.0,7.0,0.3,97243.3,37.5,4.5,97217.8,0.1,-0.0,1641
1,0,0,0,43.2424393,43.2424049,-0.0393417,-0.0393176,448.5,411.1,0.84,0.61,-7.0,21.0,-39.0,-33.0,7.0,5.0,0.3,97243.2,37.7,4.5,97217.6,0.1,-0.0,1642
1,0,0,0,43.2424355,43.2424049,-0.039343,-0.0393176,448.2,411.1,0.84,0.61,-5.0,21.0,-39.0,-33.0,9.0,5.0,0.3,97243.2,37.7,4.5,97217.6,0.1,-0.0,1643
1,0,0,0,43.2424355,43.2424049,-0.0393425,-0.0393177,447.9,411.2,0.84,0.59,-6.0,19.0,-39.0,-33.0,8.0,6.0,0.3,97243.2,37.2,4.3,97217.8,0.0,-0.0,1644
